legId,searchDate,flightDate,startingAirport,destinationAirport,travelDuration,isNonStop,baseFare,totalFare,totalTravelDistance
65a8a691c4d77487a439d6f44c219a39,2022-04-17,2022-04-21,LGA,DFW,PT5H45M,False,110.7,142.6,1487.0
1ad3c9a84f803cc98028ba8c67f35941,2022-04-18,2022-04-24,ATL,LGA,PT2H22M,True,450.23,498.6,762.0
510f3a1255b9843a8eae48032b191faf,2022-04-17,2022-04-22,OAK,LAX,PT7H11M,False,645.02,717.0,1628.0
ca0fb1ee992f752bbfdcd03a8b3e8ed0,2022-04-17,2022-05-18,LGA,SFO,PT10H22M,False,440.93,497.6,2897.0
5f7a29384cea410317ca308d2e065059,2022-04-17,2022-05-06,SFO,BOS,PT8H29M,False,506.05,567.6,2751.0
79bb180f60bb7f947ff23dc911b8d575,2022-04-18,2022-04-20,PHL,SFO,PT8H40M,False,305.12,351.6,2970.0
9ca7ec27a31d1fdec999b8fa7311f4dc,2022-04-17,2022-04-20,EWR,PHL,PT11H20M,False,305.11,357.19,1392.0
a5e9d9b01627d1e1c54d6b6cbf143945,2022-04-18,2022-04-30,OAK,DTW,PT10H12M,False,557.21,627.1,2079.0
938cb69367f840443ff7d1ed1c4f22c6,2022-04-16,2022-04-23,ATL,JFK,PT2H14M,True,431.63,478.6,762.0
1a4059b1a2055478036048ad19a93991,2022-04-17,2022-04-23,JFK,MIA,PT7H41M,False,73.49,101.1,1197.0
97fcd8cbdc614b863c9c1385ffc84957,2022-04-18,2022-05-30,ORD,MIA,PT3H10M,True,217.67,248.6,1192.0
17bc0e8602c1f9bc82a7ae30e61d036f,2022-04-17,2022-06-05,MIA,BOS,PT6H14M,False,677.2,751.59,1289.0
2d7e65cff226137a9c56482a4cf28308,2022-04-18,2022-05-25,IAD,PHL,PT3H36M,False,218.6,257.1,776.0
b8714828ff605dfc10a9c511917f1ee8,2022-04-16,2022-04-26,SFO,MIA,PT10H48M,False,147.91,182.6,3670.0
d3b675caa252f6cb4a299a6bb1f15aab,2022-04-18,2022-05-19,CLT,EWR,PT5H4M,False,237.21,277.1,990.0
9b402bdc2533983355993936fcc9ab0d,2022-04-18,2022-05-20,MIA,ATL,PT1H58M,True,78.14,98.6,596.0
c4d938aebd3505f37699fe90d0c57d1c,2022-04-17,2022-04-27,ORD,LGA,PT2H16M,True,120.93,144.6,720.0
46161c36f8a23fce15c8aafd33f9ef0c,2022-04-17,2022-04-29,LGA,ATL,PT2H27M,True,143.26,168.61,762.0
c50e81cd814a334c62e8d12cd10216c9,2022-04-17,2022-05-09,CLT,DFW,PT6H13M,False,358.14,407.1,953.0
c5105dcf97504fd9a913ebcb3a768dce,2022-04-16,2022-04-21,IAD,JFK,PT6H2M,False,393.49,446.6,537.0
80e97c74e379451453a1151b70aaf371,2022-04-17,2022-05-14,LAX,ORD,PT4H4M,True,236.28,268.6,1745.0
3e92db5ca7af9bffa8802c0c33d4a674,2022-04-16,2022-04-24,IAD,EWR,PT7H29M,False,324.65,372.6,876.0
cddd19a9408bbdd226739e4df43fe4f1,2022-04-18,2022-05-06,LGA,CLT,PT5H38M,False,199.07,237.6,548.0
3189bed9abb8404c0e50c0c677169129,2022-04-17,2022-05-13,LGA,SFO,PT8H25M,False,645.58,717.6,2595.0
55d33db30bfaa6c310d06e47ecb1af15,2022-04-18,2022-04-29,DEN,JFK,PT11H11M,False,481.86,547.2,2794.0
7366e6892499eb8a6065ecc748086f63,2022-04-17,2022-05-14,DFW,PHL,PT9H57M,False,214.33,259.61,2217.0
9cf37914b208e91d2da0c3e4bd883bcb,2022-04-18,2022-05-05,LAX,BOS,PT5H34M,True,409.3,454.6,2606.0
d03ff6b6ae215b7c69b128133fd96b18,2022-04-17,2022-04-30,JFK,LAX,PT6H9M,True,240.0,272.6,2458.0
1a82f1683073d13bc3a0b146af0e6967,2022-04-18,2022-05-07,BOS,SFO,PT6H49M,True,209.3,239.6,2698.0
da6528f9310219f97f6c0a9876e6e0ef,2022-04-17,2022-04-19,MIA,OAK,PT8H58M,False,203.38,310.96,
908813896e81936d3e986460919dee13,2022-04-17,2022-05-04,IAD,PHL,PT5H49M,False,148.84,183.6,1266.0
8ea779522c5b95fb7e399101fcd9fbb0,2022-04-17,2022-05-02,DTW,EWR,PT1H38M,True,161.86,188.6,485.0
aef1e1bdbd055e07e3482b312bc86aa1,2022-04-17,2022-04-28,PHL,LGA,PT10H4M,False,278.14,328.2,1392.0
4c30cec5ea31e240c808b9840ed6f86f,2022-04-17,2022-05-16,ORD,CLT,PT6H4M,False,227.91,268.6,1265.0
1dfbd2ce7159c239f6fd9a0e5fc9bcaf,2022-04-17,2022-05-25,ATL,ORD,PT2H12M,True,227.91,259.6,600.0
f2f642d22fb51248d0c59831321beed7,2022-04-18,2022-05-29,LAX,DTW,PT8H51M,False,396.28,449.6,2883.0
24eb484b6d5a3222f4c76f88448a5afe,2022-04-17,2022-05-06,PHL,EWR,PT6H42M,False,277.21,321.6,1392.0
5d710e20b19edb33bcecaaf40ee982a6,2022-04-17,2022-06-01,LGA,DEN,PT8H9M,False,259.53,302.6,2030.0
8f8bdcf07b284362db875b79cc7f8f8f,2022-04-18,2022-05-21,DEN,BOS,PT7H32M,False,264.19,307.6,1815.0
7edcf5583a3ee84aaf00b74adb415727,2022-04-17,2022-06-03,CLT,LAX,PT7H45M,False,326.51,373.1,2622.0
f8e4003738a4fb17104c0649808edf3e,2022-04-17,2022-04-26,BOS,CLT,PT5H,False,138.6,172.6,730.0
fc44edc9d9ee71123872b519f4e02356,2022-04-18,2022-05-16,ATL,LAX,PT4H57M,True,413.02,458.6,1943.0
4f7a0dd37a2745149f293255455a2704,2022-04-17,2022-05-20,ORD,ATL,PT2H9M,True,292.09,328.6,600.0
ef125e8192cb30c84b5409e08c128117,2022-04-17,2022-04-25,DEN,LAX,PT13H44M,False,489.58,552.1,964.0
314ff2ad53d73fdacc396c3fc9b383fb,2022-04-18,2022-04-22,BOS,DFW,PT5H52M,False,196.28,234.6,1583.0
d0b94a3efdd59f5dc1d5943c1665fcce,2022-04-17,2022-06-06,DTW,LGA,PT3H32M,False,72.56,101.6,612.0
109636dcaa26d4dc515b17124eee546a,2022-04-18,2022-04-21,DTW,MIA,PT14H44M,False,217.68,267.71,1454.0
8385f2366454c8603219212005b51f70,2022-04-17,2022-05-28,LAX,MIA,PT4H59M,True,222.33,253.61,2339.0
2ff140eecedfd7c7f70616e13da877e2,2022-04-16,2022-04-24,LAX,IAD,PT7H9M,False,608.37,677.6,2376.0
cdf172e55f56283cf47d0bd6a42fdf1b,2022-04-17,2022-04-22,LAX,DTW,PT7H30M,False,416.74,471.6,2210.0
095bf6f5fad33c376b57d41c52b0f453,2022-04-16,2022-04-26,MIA,ATL,PT2H10M,True,213.95,244.6,596.0
173ffafa8385466509afec08b00703b3,2022-04-18,2022-05-25,DFW,MIA,PT4H10M,False,217.67,257.6,1289.0
07524886cfbbdf7e1395732ed4a79615,2022-04-18,2022-05-19,PHL,IAD,PT4H29M,False,218.6,257.1,776.0
45287c0a2faf50f33b0155008eaa522d,2022-04-17,2022-06-13,LAX,BOS,PT7H18M,False,537.68,601.61,2607.0
1b681b62b1e8f8ae492498a34f6e9489,2022-04-17,2022-05-13,DTW,PHL,PT6H13M,False,382.32,434.59,912.0
3aec6033b2424dada16a9382127f50de,2022-04-17,2022-05-14,LAX,DTW,PT8H26M,False,294.0,401.58,
24f8245dbe83098a582d9f75d6b0124e,2022-04-17,2022-06-09,EWR,ORD,PT6H35M,False,358.13,408.59,725.0
2e371a46d9ff1fe696bea5d5d6304ba2,2022-04-18,2022-05-19,LAX,DFW,PT8H2M,False,320.93,368.6,1819.0
23a569654e2e77acaa138e48d5d818ed,2022-04-17,2022-05-08,LAX,SFO,PT12H5M,False,272.56,322.2,1635.0
ce2913cdc8d8a8d158804d40f29e2a57,2022-04-17,2022-05-14,ORD,LAX,PT8H13M,False,367.44,418.6,2225.0
258770794cb9bc0e5ceea5e6c2e84d23,2022-04-17,2022-06-06,JFK,ATL,PT5H40M,False,435.34,491.59,762.0
f379ee371ddcbc1328efc3f3d89596fc,2022-04-17,2022-06-10,JFK,DFW,PT3H51M,True,250.24,283.61,1380.0
578eadc126ad53f561712a6c373591ec,2022-04-17,2022-06-01,SFO,OAK,PT4H50M,False,351.62,401.59,677.0
b24c5f04a3488324df983732ed843d5c,2022-04-17,2022-05-06,LGA,SFO,PT13H12M,False,268.85,318.21,2883.0
